gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm15675,199.2420842929483,4.086671610344794,0.5925110445438485,6.897207483264663,5.303469670626186e-12,6.335634595488744e-10
Gm37954,712.2710697434221,3.680833620095306,0.5352850146363791,6.876399524458402,6.1384193731640755e-12,7.282856190544391e-10
F13a1,559.0176388284893,-12.768849505140299,1.8591623478202242,-6.8680658900558855,6.507816393596989e-12,7.668598338087553e-10
Gm17167,528.2713931952676,5.065174006896528,0.7401551183756127,6.843395230465814,7.733789222431363e-12,9.051668710199735e-10
Cggbp1,4780.614549953513,-2.2132779308845105,0.32453450705610287,-6.819853922350072,9.113312977881828e-12,1.0571061463498632e-09
Pcdhga4,245.24635222011014,-9.769636475841326,1.4326632085290028,-6.819213627934489,9.154019279094762e-12,1.0571061463498632e-09
Wnt4,9714.231692729682,1.839002348535459,0.26998065763796547,6.811607781923016,9.651394611311327e-12,1.1071619699148e-09
Gm13889,1725.4145297311177,-2.549998403666807,0.37473495236328414,-6.804805336638919,1.0118596312706551e-11,1.1531205613730452e-09
Rasip1,3441.2096092584156,-2.7738242620052347,0.4081800408407353,-6.795590142751572,1.0787004350876385e-11,1.2212581004305932e-09
Hsd17b11,1347.3848626412694,3.780804254195081,0.5572183027186242,6.785140107115712,1.1597390717375732e-11,1.3044805325089768e-09
H2-T23,11181.364560987087,2.3897626035533492,0.35249877794972867,6.779491882080122,1.2059927367269098e-11,1.3477552377795825e-09
Tmem256,3827.810575182102,2.0083468094415577,0.29627945808531975,6.778555700149867,1.2138317979109422e-11,1.3478201540649577e-09
AW112010,3046.1831180704557,5.493115769561398,0.812724401969138,6.758891152095604,1.3905180631249679e-11,1.5341754069713818e-09
Wdr38,171.99462738017473,6.7590863733565225,1.0030374280612426,6.738618305022843,1.598998368119993e-11,1.7420031278348755e-09
RP24-230L6.3,199.85545939111466,3.7269164812131765,0.5530374286724589,6.738995026357385,1.5948586083333253e-11,1.7420031278348755e-09
Sh3bgrl3,11751.617875664086,2.2535815462942015,0.33455510556477264,6.736054864533787,1.6274485625233397e-11,1.7619165000018307e-09
Ankrd12,3292.8866406904467,2.1348748152906576,0.3172295488673285,6.72974766352394,1.6995757052743517e-11,1.828574556941759e-09
Pvrl2,3228.8031374272773,-1.987885685380773,0.2957655128237561,-6.721154425348216,1.8029039247821705e-11,1.9159061705711314e-09
Speer4a,262.87271777944954,3.365513236129957,0.5007892733260273,6.720417978958821,1.812040112905369e-11,1.9159061705711314e-09
RP23-169H9.5,118.99017280076488,3.9061221064896423,0.5812451411521679,6.720266252457211,1.8139280220163118e-11,1.9159061705711314e-09
Gm17132,1548.7596858722582,3.2923456167916623,0.4901199898119856,6.717427742652641,1.849604307615063e-11,1.9417482313035225e-09
