gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cyr61,11520.652094277646,6.820579530778076,0.9119627467368121,7.479011127574559,7.488393377608388e-14,1.6419487352776267e-11
Gm26377,840.8217483712559,-2.2339299548858493,0.2989013764969987,-7.473802834455264,7.79098481647489e-14,1.6869429873872256e-11
Acvrl1,2231.4726530926564,2.6658195359173087,0.3568341968269885,7.470751289035883,7.973824027508213e-14,1.705217034623423e-11
Srgn,3233.8700174526657,2.736471459512965,0.36915855825812,7.412726586713973,1.2372880460261148e-13,2.6136955528371174e-11
Ndufa6,6283.5937254454975,-2.1673505741638333,0.29257026688796517,-7.4079659468396475,1.2825122286192796e-13,2.676587569173875e-11
Atp5j,15439.15977537891,-2.2102858080892736,0.2994008066867307,-7.382364237922517,1.5550306897106523e-13,3.206695429424752e-11
Sele,457.9372601513437,13.10378919455817,1.776896069261242,7.37453890592834,1.6491481491883795e-13,3.360769910616601e-11
D330041H03Rik,332.9251752258254,-3.598082153834922,0.49001441888116654,-7.34280873213956,2.0915733000289291e-13,4.212817756174548e-11
Atp1a1,6338.217590730633,1.2639513308896964,0.17241998094626623,7.330654625716494,2.290312063800277e-13,4.5082710874032266e-11
Pbx1,3529.4886549282837,-2.114393942968,0.288399397186,-7.331478372003478,2.276275640133606e-13,4.5082710874032266e-11
Hbb-bs,6764.329595553802,-4.004790853704855,0.5464227438209753,-7.329107177531662,2.316910444633091e-13,4.5093845754982466e-11
Tsc22d2,2526.0719112957436,2.9953541540419613,0.4092120125717421,7.319809932306967,2.483224191778405e-13,4.7793788277761705e-11
Zfp36l2,4408.479820470402,2.3422123814418985,0.32015148617871747,7.315950362742999,2.555661263746093e-13,4.8647433418252554e-11
Speer4a,262.87271777944954,-3.6541603715009257,0.5002952940910683,-7.304007082736546,2.793216648775132e-13,5.259141172835091e-11
Col1a1,9030.356031389978,3.1781900981884235,0.4356723091514233,7.294909571780482,2.9885973686023567e-13,5.566503614938712e-11
Neat1,9745.481366602193,-2.660805268719379,0.3649201177370773,-7.291473227673551,3.0658382049217947e-13,5.649622275069716e-11
Jak1,10020.4131055597,1.6562847549351176,0.2297089650688039,7.210361835198798,5.580339268199803e-13,9.999807476781952e-11
Nanp,682.5021604168352,-3.261631056857929,0.45237245134559917,-7.210056773254169,5.5928553645352e-13,9.999807476781952e-11
Iqgap1,7908.6380949347085,2.0776566664505345,0.28816759379992474,7.209890047154486,5.599707454380842e-13,9.999807476781952e-11
